alternative_txt,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,city,claim2,claim3,claimed,claimmode2,claimmode2_txt,claimmode3,claimmode3_txt,claimmode,claimmode_txt,compclaim,corp1,corp2,corp3,country,country_txt,eventid,gname2,gname3,gname,gsubname2,gsubname3,gsubname,guncertain1,guncertain2,guncertain3,iday,imonth,iyear,latitude,location,longitude,motive,multiple,natlty1,natlty1_txt,natlty2,natlty2_txt,natlty3,natlty3_txt,nkill,nkillter,nkillus,nperpcap,nperps,nwound,nwoundte,nwoundus,propcomment,property,propextent,propextent_txt,propvalue,provstate,region,region_txt,related,success,suicide,summary,target1,target2,target3,targsubtype1,targsubtype1_txt,targsubtype2,targsubtype2_txt,targsubtype3,targsubtype3_txt,targtype1,targtype1_txt,targtype2,targtype2_txt,targtype3,targtype3_txt
,3,Bombing/Explosion,,,,,Marseille,,,0,,,,,,,,Societe Nationale Corse-Mediterranee (SNCM),,,69,France,200005200004,,,Unknown,,,,0,,,20,5,2000,43.296482,,5.36978,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,0,,,,Bouches-du-Rhône (Department),8,Western Europe,,0,0,"05/20/2000: An attempted attack on the Societe Nationale Corse-Mediterranee (SNCM) Ferry Company main office building in Marseille, France, was foiled when security guards found a container with 20 liters of solid nitrate with a timer detonator. The device was deactivated prior to causing any damage. There was no claim of responsibility for the incident.",SNCM Main Office Building in Marseille,,,11,Entertainment/Cultural/Stadium/Casino,,,,,1,Business,,,,
Other Crime Type,3,Bombing/Explosion,,,,,Porto-Vecchio,,,0,,,,,,,,Gulf Estate Agency,Marcellesi Civil Engineering Firm,,69,France,200006040003,,,Unknown,,,,0,,,4,6,2000,41.591369,,9.278311,Unknown,0,69,France,69,France,,,0,0,0,,,0,0,0,Two buildings received severe (unspecified) damages.,1,4,Unknown,,Corsica,8,Western Europe,,1,0,"06/04/2000: An estate agency and a civil engineering firm were targeted in explosive attacks in Porto-Vecchio, Corsica. The premises of the Golf agency and the civil engineering firm Marcellesi were seriously damaged by two explosive charges of about 200 g. There were no casualties and no claim of responsibility in this incident.",A Building Housing the Gulf Estate Agency,A Building Housing the Marcellesi Civil Engineering Firm,,,,12,Construction,,,1,Business,1,Business,,
,3,Bombing/Explosion,,,,,Paris,,,1,,,,,10,Unknown,0,French government property,Civilians,,69,France,200006260007,,,Corsican National Liberation Front (FLNC),,,,0,,,26,6,2000,48.856614,In the vicinity of the International Conference Center near the Arc de Triomphe in central Paris,2.352222,The perpetrators stated that they were provoked by a police on the part of the French government to eradicate the Corsican community,0,69,France,69,France,,,0,0,0,0,-99,0,0,0,,0,,,,Île-de-France,8,Western Europe,,0,0,"6/26/2000: Workers found a bomb in the vicinity of the Kleber Center, a government conference center, near the Arc de Triomphe in central Paris, France.  The bomb consisted of 23 sticks of dynamite, an alarm clock, and two detonators; the batteries failed, so the bomb did not detonate.  A Corsican separatist group, the Corsican National Liberation Front (FLNC), claimed responsibility for the failed attack and stated that the bomb was supposed to explode early Monday.  The FLNC stated that the French government was responsibly for a policy of eradication of their community.","The Kleber Center, a government conference center",Civilians in the vicinity of the Kleber Center and a construction site,,21,Government Building/Facility/Office,67,Unnamed Civilian/Unspecified,,,2,Government (General),14,Private Citizens & Property,,
Other Crime Type,1,Assassination,,,,,L'Ile Rousse,,,0,,,,,,,,Civilians,,,69,France,200008070005,,,Unknown,,,,0,,,7,8,2000,42.63651,"Le Piscine bar in L'Ile-Rousse, upper Corsica",8.937046,Specific motive is unknown but authorities speculate that the attack was ordered by terrorists or the criminal underworld.  The victim had just published a controversial book that denounced an organization.,0,69,France,,,,,2,0,0,0,5,1,0,0,,0,,,,Corsica,8,Western Europe,,1,0,"8/7/2000: Five unidentified assailants opened fire in a targeted attack on Le Piscine bar in L'Ile-Rousse, upper Corsica, France.  Jean-Michel Rossi and his bodyguard, Jean-Claude Fratacci, were shot dead in the attack and a bartender was injured.  Rossi was former member of Corsica's nationalist Cuncolta Naziunalista party and the right hand of it's leader, Francois Santoni.  Rossi and Santoni had just published a book that denounced the party.  Authorities are not certain whether the attack was politically motivated or instigated by the criminal underworld.","Jean-Michel Rossi and his bodyguard, Jean-Claude Fratacci, as well as a bartender",,,77,Laborer (General)/Occupation Identified,,,,,14,Private Citizens & Property,,,,
,3,Bombing/Explosion,,,,,Ajaccio,,,0,,,,,,,,Economic Development Agency,,,69,France,200008130003,,,Unknown,,,,0,,,13,8,2000,41.919229,,8.738635,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,1,3,Minor (likely < $1 million),,Corsica,8,Western Europe,,1,0,"08/13/2000: A car bomb exploded at the Economic Development Agency building in Ajaccio, Corsica, causing serious damage. There were no casualties and no claim of responsibility was made.","Economic Development Agency building in Ajaccio, Corsica",,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Sartene,,,1,,,,,8,Personal claim,-9,Sub-Prefect of Sartene,,,69,France,200008170002,,,Armata Corsa,,,,1,,,17,8,2000,41.621822,,8.97472,Unknown,0,69,France,,,,,0,0,0,3,,0,0,0,The explosion damaged part of the balcony of the apartment occupied by the sub-prefect and his family.    The blast broke several of the building's windows.,1,3,Minor (likely < $1 million),,Corsica,8,Western Europe,,1,0,"08/17/2000: A rocket with an inert charge was fired at a government building in Sartene in southern Corsica, France. No group claimed responsibility for the attack, but local authorities blamed armed militants within the highly fragmented Corsican nationalist movement. No one was injured in the attack.",The private living quarters of the sub-prefect of Sartene,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Bastia,,,0,,,,,,,,Corsican administration,,,69,France,200008260003,,,Unknown,,,,0,,,26,8,2000,42.697283,The Departmental Directorate of Infrastructure [DDE] government building in Bastia,9.450881,Unknown,0,69,France,,,,,0,0,0,0,-99,0,0,0,Several windows were broken and the building was slightly damaged,1,4,Unknown,,Corsica,8,Western Europe,,1,0,"8/26/2000: A bomb exploded outside the Departmental Directorate of Infrastructure [DDE] government building in Bastia, Corsica Island, France.  The explosion was caused by a two kilogram bomb consisting of plastic explosives.  The building was slightly damaged and several windows were broken in the explosion but no one was injured.  No group claimed responsibility for the attack.",The Departmental Directorate of Infrastructure [DDE] building in Bastia,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Sperone,,,0,,,,,,,,Civilians,,,69,France,200009130005,,,Unknown,,,,0,,,13,9,2000,41.369785,,9.213233,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,The entrance to the villa was damaged.,1,3,Minor (likely < $1 million),,Corsica,8,Western Europe,,1,0,"09/13/2000: On the morning of 09/13/2000, a bomb exploded outside a villa in Sperone town. The entrance to the villa was damaged, but there were no injuries. The villa belonged to Mr. Jacques Dewez, a property developer in the area, and the director of a golf course that was targeted in a 1994 bombing perpetrated by the Corsican National Liberation Front-Traditional Wing (FLNC). Mr. Dewez's wife and an employee were inside when the bomb went off.","The home of Jacques Dewez, a Property Developer",,,76,House/Apartment/Residence,,,,,14,Private Citizens & Property,,,,
,7,Facility/Infrastructure Attack,,,,,Paris (Department),,,0,,,,,,,,A synagogue,,,69,France,200010100003,,,Unknown,,,,0,,,10,10,2000,48.856614,"A synagogue in Trappes, a western suburb of Paris",2.352222,"Specific motive is unknown, but the incident occurred during increased tension amongst Jewish and Muslim people, following clashes between Israelis and Palestinians in the Middle East.",0,69,France,,,,,0,0,0,0,-99,0,0,0,The first and second floors and the roof of the synagogue were badly damaged,1,4,Unknown,,Île-de-France,8,Western Europe,,1,0,"10/10/2000:  Unidentified assailants partially burned down a synagogue in Trappes, a western suburb of Paris, France.  Several youths were seen leaving the synagogue just before the fire broke out.  Canisters of flammable liquid were found on the premises.  The first and second floors and the roof were badly damaged in the fire.  The incident occurred during increased tension amongst Jewish and Muslim people, following clashes between Israelis and Palestinians in the Middle East.",A synagogue in Trappes,,,86,Place of Worship,,,,,15,Religious Figures/Institutions,,,,
,7,Facility/Infrastructure Attack,,,,,Paris (Department),,,0,,,,,,,,A synagogue,,,69,France,200010100006,,,Unknown,,,,0,,,10,10,2000,48.856614,"A synagogue in Ulis, a southern Paris suburb",2.352222,"Specific motive is unknown, but the incident occurred during increased tension amongst Jewish and Muslim people, following clashes between Israelis and Palestinians in the Middle East.",0,69,France,,,,,0,0,0,0,-99,0,0,0,Two Molotov cocktails caused minor damage to the synagogue,1,4,Unknown,,Île-de-France,8,Western Europe,,1,0,"10/10/2000:  Unidentified assailants threw two Molotov cocktails through the windows of a synagogue in Ulis, a southern suburb of Paris, France.  The flames were doused before the synagogue suffered major damage.  The incident occurred during increased tension amongst Jewish and Muslim people, following clashes between Israelis and Palestinians in the Middle East.",A synagogue in Ulis,,,86,Place of Worship,,,,,15,Religious Figures/Institutions,,,,
,3,Bombing/Explosion,,,,,Marseille,,,1,,,,,3,Call (pre-incident),-9,Civilians,,,69,France,200010200007,,,Corsican Separatists,,,,1,,,20,10,2000,43.296482,,5.36978,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,0,,,,Bouches-du-Rhône (Department),8,Western Europe,,0,0,"10/20/2000: Corsican separatists were blamed for planting a car bomb in Marseilles, France, which was found a defused before it detonated",Indiscriminate Civilians Located in Marseilles,,,67,Unnamed Civilian/Unspecified,,,,,14,Private Citizens & Property,,,,
,7,Facility/Infrastructure Attack,,,,,Cambo-les-Bains,,,0,,,,,,,,French Estate Agency,,,69,France,200010210002,,,Iparretarrak (IK),,,,1,,,21,10,2000,43.361106,,-1.399376,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,The damage from the arson was describes as extensive.,1,3,Minor (likely < $1 million),,Pyrénées-Atlantiques (Department),8,Western Europe,,1,0,"10/21/2000: An estate agency was completely destroyed after perpetrators ignited a gas canister near the location in Cambo-les-Bains, France. French police believed Iparretarrak, the French Basque underground movement, was responsible for the attack. No casualties were reported as a result of the incident.",An Estate Agent's Office in Cambo-les-Bains,,,,,,,,,1,Business,,,,
Other Crime Type,3,Bombing/Explosion,,,,,Ajaccio,,,0,,,,,,,,Roland Francisci,,,69,France,200010240003,,,Unknown,,,,0,,,24,10,2000,41.919229,,8.738635,There was speculation that the attack may have been linked to Francisci's opposition to the plan worked out by Socialist Prime Minister Lionel Jospin to allow greater autonomy for Corsica.,0,69,France,,,,,0,0,0,0,,0,0,0,Minor damage to the entrance of the office attacked.,1,3,Minor (likely < $1 million),,Corsica,8,Western Europe,,1,0,"10/24/2000: A small bomb damaged the Ajaccio, France political office of conservative lawmaker, Roland Francisci, who was known for his fierce opposition to an accord aimed at giving greater autonomy to Corsica. The entrance to the office was damaged by the explosion. No one was injured. No one claimed responsibility for the blast, but there was speculation that it may have been linked to Francisci's opposition to the plan worked out by Socialist Prime Minister Lionel Jospin.",Ajaccio Office of Roland Francisci,,,,,,,,,1,Business,,,,
Other Crime Type,7,Facility/Infrastructure Attack,,,,,Hendaye,,,0,,,,,,,,The French Postal Service,,,69,France,200011090002,,,Unknown,,,,0,,,9,11,2000,43.359399,,-1.766148,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,1,3,Minor (likely < $1 million),,Pyrénées-Atlantiques (Department),8,Western Europe,,1,0,"11/09/2000: Unidentified persons hurled three gasoline bombs at a branch of the post office in Hendaye, France. The interiors of the offices were gutted by the fire. The cost of the damage, which was apparently very extensive, was not known. It was suspected that young Basque separatists carried out the attack.",A post office in Hendaye,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Corte,,,0,,,,,,,,Departmental Directorate of Infrastructure,,,69,France,200011190005,,,Unknown,,,,0,,,19,11,2000,42.309409,,9.149022,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,1,2,Major (likely > $1 million but < $1 billion),,Corsica,8,Western Europe,,1,0,"11/19/2000: A car bomb went off outside the premises of the Departmental Directorate of Infrastructure (DDE) in Corte, Haute-Corse Department, Corsica, France. The blast did not result in any casualties, but caused extensive damage. There was no claim of responsibility for the attack",The premises of the Departmental Directorate of Infrastructure in Corte,,,18,"Government Personnel (excluding police, military)",,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Baule,,,0,,,,,,,,Trade Union,,,69,France,200011240003,,,Unknown,,,,0,,,24,11,2000,47.285448,,-2.393236,Unknown,0,69,France,,,,,1,0,0,0,,0,0,0,,1,3,Minor (likely < $1 million),,Unknown,8,Western Europe,,1,0,"11/24/2000: In Cote d'Amour, France, one individual was killed in an explosion at an inter-community trade union office. The victim was an employee of the union, which is run by the local government and which heads decision-making on issues of health, tourism and the environment. Separatist militants were suspected in the attack.",The office building of an inter-community trade union,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Ajaccio,,,1,,,,,10,Unknown,0,Corsican military,,,69,France,200012020003,,,Corsican National Liberation Front (FLNC),,,,0,,,2,12,2000,41.919229,In front of a military installation in Ajaccio,8.738635,"Specific motive is unknown; however, the assailants state that the attack was intended to send a ""warning to the forces of repression.""  The group that claimed responsibility has been fighting for greater autonomy from the French government.",0,69,France,,,,,0,0,0,0,-99,0,0,0,,0,,,,Corsica,8,Western Europe,,0,0,"12/2/2000: Following an anonymous tip, two explosive devices were discovered in a car parked in front of a military installation in Ajaccio, Corsica Island, France.  Experts successfully defused the devices that consisted of 200 kilograms of nitrate fuel.  Several weeks later, the Corsican National Liberation Front (FLNC) claimed responsibility for the failed attempt, stating it was ""a warning to the forces of repression"".",Personnel in the vicinity of a military installation in Corsica,,,34,"Military Personnel (soldiers, troops, officers, forces)",,,,,4,Military,,,,
,3,Bombing/Explosion,,,,,Corte,,,0,,,,,,,,The Corsica government,,,69,France,200012310009,,,Unknown,,,,0,,,31,12,2000,42.309409,The Environment Office of Corsica in Corte,9.149022,"Specific motive is unknown; however, small bombings are a common tactic for Corsican nationalists pressing for independence.",0,238,Corsica,,,,,0,0,0,0,-99,0,0,0,Windows were shattered and offices were destroyed in the blast,1,3,Minor (likely < $1 million),70000,Corsica,8,Western Europe,,1,0,"12/31/2000: A device exploded outside the front entrance of The Environment Office of Corsica in Corte, Corsica.  No one was injured in the attack; however, the building suffered damage.  No group claimed responsibility for the incident.",The Environment Office of Corsica,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Annecy,,,0,,,,,,,,French Ministry of Justice,,,69,France,200101220001,,,Armata Corsa,,,,1,,,22,1,2001,45.899217,,6.129487,"The attack was to protest the lack of progress in the investigation into the assassination of Jean-Michel Rossi, a Corsican nationalist.",0,69,France,,,,,0,0,0,0,,0,0,0,The blast occurred outside the local offices of the Ministry of Justice and shattered the windows of the building.,1,3,Minor (likely < $1 million),,Haute-Savoie  (Region),8,Western Europe,,1,0,"01/22/2001: An explosion occurred at the the building housing the Ministry of Justice in Annecy, France. There were no injuries or fatalities but there was extensive property damage. Officials believed that this incident was the work of the Armata Corsa organization.",Annecy Ministry of Justice building,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,6,Hostage Taking (Kidnapping),,,,,Grenoble (District),,,0,,,,,,,,Private citizens,Titanite Explosifs,,69,France,200103070005,,,Basque Fatherland and Freedom (ETA),,,,0,,,7,3,2001,45.184327,Residence on the outskirts of Grenoble,5.718551,"Although the specific motive was unknown, sources suggest that the stock of explosive material previously stolen by ETA from the same store was ruined by age and they needed to obtain more explosives and detonators.  Sources also note that this incident illustrates the desire of ETA to continue operating in France.",0,69,France,69,France,,,0,0,0,1,8,0,0,0,,0,,,,Rhône-Alpes,8,Western Europe,,1,0,"3/07/2001: The manager of the Titanite Explosifs store and eight of his family members were taken hostage around 7pm at their home outside of Grenoble, France, by suspected Basque Fatherland and Freedom (ETA) militants.  The militants then proceeded to use the manager's access to raid the company's store and steal 1.6 tons of dynamite, detonating cable to the length of 10km, and 20,000 detonators.  The family was released two hours later after the trucks ETA loaded were gone.",The manager of the Titanite Explosifs store and his family,Titanite Explosifs store on the outskirts of Grenoble,,77,Laborer (General)/Occupation Identified,7,Retail/Grocery/Bakery,,,14,Private Citizens & Property,1,Business,,
,3,Bombing/Explosion,,,,,Paris,,,1,,,,,3,Call (pre-incident),-9,Civilians,,,69,France,200103220004,,,Armata Corsa,,,,0,,,22,3,2001,48.856614,,2.352222,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,0,,,,Paris (Department),8,Western Europe,,1,0,"03/22/2001: French police defused a bomb planted in a vehicle in southwest Paris, France, after a spokesman for Armata Corsa, a Corsican resistance group, called Le Monde and Liberation newspapers and tipped them off. The unidentified person stated that the warning was reciprocation for the French government’s capture and arrest of the killers of Corsican guerrilla fighters Jean-Michel Rossi and Jean-Claude Fratacci.",Civilains in southwest Paris,,,67,Unnamed Civilian/Unspecified,,,,,14,Private Citizens & Property,,,,
,3,Bombing/Explosion,6,Hostage Taking (Kidnapping),,,Bonifacio,,,1,,,,,8,Personal claim,0,Private residence in Bonifacio,,,69,France,200106230004,,,Corsican National Liberation Front (FLNC),,,,0,,,23,6,2001,41.387174,A residence in a development of houses in Bonifacio,9.159269,"Although the specific motive for this attack was unknown, the source notes that the FLNC has been trying to gain autonomy in the area for years.",0,238,Corsica,,,,,0,0,0,0,3,0,0,0,The house was destroyed.,1,4,Unknown,,Corsica,8,Western Europe,,1,0,"06/23/2001: Three unidentified members of the Corsican National Liberation Front (FLNC) detonated a bomb in an empty residence in Bonifacio, Corse-du-Sud department, Corsica, after making the guard of the housing development let them into the home.  No one was injured, but the home was destroyed.  The men wrote the group name's acroynym FLNC on a wall of the residence.","Private residence in a housing development in Bonifacio, and the guard of the development",,,76,House/Apartment/Residence,,,,,14,Private Citizens & Property,,,,
,3,Bombing/Explosion,,,,,Bastia,,,0,,,,,,,,French Government / Police,,,69,France,200107060001,,,Corsican National Liberation Front (FLNC),,,,1,,,6,7,2001,42.697283,,9.450881,Unknown,0,69,France,,,,,0,0,0,0,6,0,0,0,Reports indicate that one of the charges severly damaged the building.,1,4,Unknown,,Corsica,8,Western Europe,,1,0,07/06/2001: A gang of six individuals partially destroyed a half-built police station. They ordered workers to leave the building before they set the charges. No one was hurt but the damage to the building was extensive. No one claimed responsibility for the attack. Officials suspected the Corsican National Liberation Front.,"A partially construct police station in Bastia, Corsica",,,22,"Police Building (headquarters, station, school)",,,,,3,Police,,,,
,3,Bombing/Explosion,,,,,Borgo,,,0,,,,,,,,French Gendarme in Corsica.,,,69,France,200107230001,,,Unknown,,,,0,,,23,7,2001,42.554742,Borgo military post located outside of Bastia,9.424047,Unknown,0,69,France,,,,,0,0,0,0,,14,0,0,The explosion caused the wall to the gendarme compound to collapse.,1,2,Major (likely > $1 million but < $1 billion),,Corsica,8,Western Europe,,1,0,"07/23/2001: Fourteen people were injured when a bomb exploded near the Borgo gendarmerie mobile unit post outside of Bastia, Corsica. No group claimed responsibility for the attack.","The Borgo post of the French Gendarme mobile, anti-riot unit near Bastia",,,39,Paramilitary,,,,,4,Military,,,,
,3,Bombing/Explosion,,,,,Isolella,,,1,,,,,1,Letter,-9,Civilians,,,69,France,200108030006,,,Corsican National Liberation Front (FLNC),,,,0,,,3,8,2001,41.846517,,8.760627,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,0,,,,Corsica,8,Western Europe,,0,0,"08/03/2001: The National Liberation Front of Corsica (FLNC) placed an explosive device in a home in Isolella, Corsica, France. The device was found and defused, causing no injuries.","Civilian Residence in Isolella, Corsica",,,76,House/Apartment/Residence,,,,,14,Private Citizens & Property,,,,
,3,Bombing/Explosion,,,,,Porto-Vecchio,,,1,,,,,1,Letter,-9,French Police,,,69,France,200108030008,,,Corsican National Liberation Front (FLNC),,,,0,,,3,8,2001,41.591369,This incident occurred at a gendarmerie post near Porto-Vecchio.,9.278311,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,0,,,,Corsica,8,Western Europe,,0,0,"08/03/2001: A bomb was found and defused at a gendarmerie post near Porto-Vecchio in Corsica, France. The National Liberation Front of Corsica claimed responsibility. No injuries resulted from this incident","Gendermerie post near Porto-Vecchio, Corsica",,,22,"Police Building (headquarters, station, school)",,,,,3,Police,,,,
